,ID_x,Check,ID_y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,CHAOSD
0,AA106,AA1D,AA1D,2,2,2,3,2,4,1,1,1,3,2,3,2,2,4,3,2.3125
1,AA102,AA1D,AA1D,2,2,2,3,2,4,1,1,1,3,2,3,2,2,4,3,2.3125
2,AA107,AA1D,AA1D,2,2,2,3,2,4,1,1,1,3,2,3,2,2,4,3,2.3125
3,AA104,AA1D,AA1D,2,2,2,3,2,4,1,1,1,3,2,3,2,2,4,3,2.3125
4,AA108,AA1D,AA1D,2,2,2,3,2,4,1,1,1,3,2,3,2,2,4,3,2.3125
5,AA103,AA1D,AA1D,2,2,2,3,2,4,1,1,1,3,2,3,2,2,4,3,2.3125
6,AA105,AA1D,AA1D,2,2,2,3,2,4,1,1,1,3,2,3,2,2,4,3,2.3125
7,AA101,AA1D,AA1D,2,2,2,3,2,4,1,1,1,3,2,3,2,2,4,3,2.3125
8,AA202,AA2D,AA2D,4,2,2,4,3,2,2,2,2,3,1,2,2,3,4,2,2.5
9,AA204,AA2D,AA2D,4,2,2,4,3,2,2,2,2,3,1,2,2,3,4,2,2.5
10,AA203,AA2D,AA2D,4,2,2,4,3,2,2,2,2,3,1,2,2,3,4,2,2.5
11,AB105,AB1D,AB1D,4,3,2,4,3,3,3,3,2,3,3,3,2,2,3,4,2.9375
12,AB101,AB1D,AB1D,4,3,2,4,3,3,3,3,2,3,3,3,2,2,3,4,2.9375
13,AB109,AB1D,AB1D,4,3,2,4,3,3,3,3,2,3,3,3,2,2,3,4,2.9375
14,AB106,AB1D,AB1D,4,3,2,4,3,3,3,3,2,3,3,3,2,2,3,4,2.9375
15,AB102,AB1D,AB1D,4,3,2,4,3,3,3,3,2,3,3,3,2,2,3,4,2.9375
16,AB107,AB1D,AB1D,4,3,2,4,3,3,3,3,2,3,3,3,2,2,3,4,2.9375
17,AB110,AB1D,AB1D,4,3,2,4,3,3,3,3,2,3,3,3,2,2,3,4,2.9375
18,AB108,AB1D,AB1D,4,3,2,4,3,3,3,3,2,3,3,3,2,2,3,4,2.9375
19,AB103,AB1D,AB1D,4,3,2,4,3,3,3,3,2,3,3,3,2,2,3,4,2.9375
20,AB201,AB2D,AB2D,3,2,1,4,1,1,2,2,1,2,1,3,1,2,2,3,1.9375
21,AB203,AB2D,AB2D,3,2,1,4,1,1,2,2,1,2,1,3,1,2,2,3,1.9375
22,AB202,AB2D,AB2D,3,2,1,4,1,1,2,2,1,2,1,3,1,2,2,3,1.9375
23,AB205,AB2D,AB2D,3,2,1,4,1,1,2,2,1,2,1,3,1,2,2,3,1.9375
24,AB204,AB2D,AB2D,3,2,1,4,1,1,2,2,1,2,1,3,1,2,2,3,1.9375
25,AB207,AB2D,AB2D,3,2,1,4,1,1,2,2,1,2,1,3,1,2,2,3,1.9375
26,AB206,AB2D,AB2D,3,2,1,4,1,1,2,2,1,2,1,3,1,2,2,3,1.9375
27,BA103,BA1D,BA1D,4,3,1,4,4,2,4,3,1,3,3,4,3,3,2,4,3.0
28,BA102,BA1D,BA1D,4,3,1,4,4,2,4,3,1,3,3,4,3,3,2,4,3.0
29,BA104,BA1D,BA1D,4,3,1,4,4,2,4,3,1,3,3,4,3,3,2,4,3.0
30,BA101,BA1D,BA1D,4,3,1,4,4,2,4,3,1,3,3,4,3,3,2,4,3.0
31,BA105,BA1D,BA1D,4,3,1,4,4,2,4,3,1,3,3,4,3,3,2,4,3.0
32,BA201,BA2D,BA2D,4,2,1,2,4,4,3,3,1,2,2,2,2,4,1,4,2.5625
33,BA204,BA2D,BA2D,4,2,1,2,4,4,3,3,1,2,2,2,2,4,1,4,2.5625
34,BA205,BA2D,BA2D,4,2,1,2,4,4,3,3,1,2,2,2,2,4,1,4,2.5625
35,BA202,BA2D,BA2D,4,2,1,2,4,4,3,3,1,2,2,2,2,4,1,4,2.5625
36,BA203,BA2D,BA2D,4,2,1,2,4,4,3,3,1,2,2,2,2,4,1,4,2.5625
37,BB07,BBD,BBD,3,3,1,4,2,2,1,1,1,2,1,2,2,3,1,1,1.875
38,BB01,BBD,BBD,3,3,1,4,2,2,1,1,1,2,1,2,2,3,1,1,1.875
39,BB03,BBD,BBD,3,3,1,4,2,2,1,1,1,2,1,2,2,3,1,1,1.875
40,BB14,BBD,BBD,3,3,1,4,2,2,1,1,1,2,1,2,2,3,1,1,1.875
41,BB06,BBD,BBD,3,3,1,4,2,2,1,1,1,2,1,2,2,3,1,1,1.875
42,BB04,BBD,BBD,3,3,1,4,2,2,1,1,1,2,1,2,2,3,1,1,1.875
43,BB05,BBD,BBD,3,3,1,4,2,2,1,1,1,2,1,2,2,3,1,1,1.875
44,BB08,BBD,BBD,3,3,1,4,2,2,1,1,1,2,1,2,2,3,1,1,1.875
45,BB13,BBD,BBD,3,3,1,4,2,2,1,1,1,2,1,2,2,3,1,1,1.875
46,BB02,BBD,BBD,3,3,1,4,2,2,1,1,1,2,1,2,2,3,1,1,1.875
47,BB12,BBD,BBD,3,3,1,4,2,2,1,1,1,2,1,2,2,3,1,1,1.875
48,BB10,BBD,BBD,3,3,1,4,2,2,1,1,1,2,1,2,2,3,1,1,1.875
49,BB15,BBD,BBD,3,3,1,4,2,2,1,1,1,2,1,2,2,3,1,1,1.875
50,BB16,BBD,BBD,3,3,1,4,2,2,1,1,1,2,1,2,2,3,1,1,1.875
51,BB09,BBD,BBD,3,3,1,4,2,2,1,1,1,2,1,2,2,3,1,1,1.875
52,BB11,BBD,BBD,3,3,1,4,2,2,1,1,1,2,1,2,2,3,1,1,1.875
