Sujeto,Onset,Offset
Adultx,6595,6612
Niñx,6612,7034
Adultx,7034,8350
Niñx,8350,8384
Adultx,9143,10847
Niñx,11640,12737
Adultx,12737,14020
Niñx,12906,13649
Adultx,14357,18998
Niñx,14847,15809
Niñx,19774,19943
Adultx,19943,21192
Adultx,21344,21951
Niñx,22069,22373
Adultx,23369,24854
Adultx,25529,26035
Adultx,26085,27520
Adultx,28448,29410
Adultx,29730,30726
Adultx,32835,33224
Adultx,33375,34709
Adultx,35350,35907
Adultx,36632,37257
Adultx,38202,38505
Adultx,38708,39990
Adultx,40564,41391
Adultx,42555,44800
Adultx,46808,47584
Adultx,49035,50183
Adultx,50875,51617
Adultx,52495,54402
Adultx,57827,59717
Niñx,58367,58688
Niñx,59717,59802
Adultx,60274,67395
Niñx,67159,68020
Adultx,67885,70045
Niñx,68560,69454
Niñx,70281,70855
Adultx,71007,71783
Adultx,73892,75664
Adultx,76238,76609
Adultx,77554,80879
Adultx,80963,81030
Adultx,81452,82887
Adultx,83190,85469
Adultx,86970,87713
Adultx,88658,88928
Adultx,89839,91088
Adultx,91864,91881
Niñx,91881,92995
Adultx,92995,93012
Adultx,93636,94834
Adultx,97315,99289
Adultx,101618,101652
Adultx,101804,102158
Adultx,102293,106124
Adultx,106292,108115
Adultx,109195,109937
Adultx,110967,111625
Adultx,112857,120248
Adultx,122931,127302
Adultx,128264,129732
Adultx,130677,131301
Adultx,133124,134237
Adultx,134440,135233
Niñx,136279,137427
Adultx,138473,150100
Niñx,148834,149037
Niñx,149121,149948
Adultx,152327,152918
Niñx,154369,154757
Adultx,160967,161035
Adultx,161372,164022
Adultx,170721,172493
Niñx,173978,174282
Adultx,174872,177572
Adultx,182297,183327
Adultx,186179,187529
Niñx,188760,189435
Adultx,189047,191545
Adultx,194954,198548
Adultx,199341,200219
Adultx,200556,201214
Adultx,204488,206378
Adultx,209280,211272
Adultx,213229,216385
Adultx,217870,219338
Adultx,220772,223506
Niñx,225970,227320
Adultx,227590,234154
Niñx,229649,229935
Niñx,230543,230627
Niñx,233749,233766
Adultx,239689,242136
Adultx,243587,244110
Adultx,245258,246237
Adultx,248717,249510
Adultx,250135,254067
Adultx,255518,256109
Adultx,256699,257864
Adultx,257931,258370
Adultx,259230,260378
Niñx,261255,261930
Adultx,262032,263230
Adultx,263972,267330
Adultx,268090,270959
Adultx,271634,273929
Adultx,274502,275110
Adultx,277034,277928
Adultx,281370,288036
Adultx,288205,288947
Adultx,288964,289791
Adultx,291512,292390
Adultx,296895,298499
Adultx,300270,302211
Adultx,304759,308202
Adultx,309974,310530
Adultx,315137,316757
Adultx,321364,324503
Niñx,324503,324807
Adultx,325043,325634
Adultx,326697,328367
Niñx,329228,330257
Adultx,336029,342981
Adultx,348752,353123
Adultx,354726,355114
Adultx,356616,357578
Adultx,358000,358034
Adultx,358118,358219
Adultx,358574,360413
Adultx,360970,361037
Adultx,361071,361324
Niñx,372833,373609
Adultx,374318,375162
Adultx,383717,384527
Adultx,386755,387261
Adultx,393032,394619
Adultx,395749,396880
Niñx,396407,401385
Niñx,404153,405199
Adultx,404305,404558
Adultx,407072,409924
Niñx,410532,413029
Adultx,413198,415206
Adultx,416117,416590
Adultx,421247,422412
Adultx,423745,424099
Adultx,425905,426479
Niñx,425939,427272
Adultx,428402,432165
Adultx,433229,435119
Adultx,436857,436874
Niñx,436874,437886
Niñx,468818,469965
Adultx,469965,470033
Adultx,471602,477897
Niñx,493439,493641
Adultx,494333,494755
Adultx,495666,496189
Niñx,497320,497944
Niñx,498282,498315
Adultx,498315,500610
Niñx,499750,502281
Adultx,502011,503513
Adultx,504559,506635
Adultx,508896,509200
Adultx,510128,511309
Adultx,512457,512879
Adultx,513537,516760
Adultx,516929,520084
Adultx,521519,522666
Adultx,526615,528269
Adultx,530834,531644
Niñx,533534,533652
Niñx,533922,534276
Adultx,536655,536993
Niñx,536807,538883
Adultx,538478,540284
Adultx,541144,541988
Niñx,543439,543895
Adultx,543895,543912
Adultx,544148,545430
Adultx,547793,550358
Adultx,551944,552383
Adultx,553632,554762
Adultx,556349,556754
Adultx,556973,557024
Adultx,557395,558272
Adultx,559116,562052
Adultx,563149,566507
Adultx,568245,570119
Adultx,572262,573848
Adultx,575097,576818
Adultx,580547,581391
Adultx,582893,583500
Adultx,583737,584142
Adultx,585593,585812
Niñx,587466,587567
Adultx,590352,591887
Adultx,595819,597102
Adultx,598604,599987
Niñx,604358,606400
Adultx,606535,607649
Adultx,611682,612070
Adultx,619984,620963
Adultx,624068,625469
Adultx,627561,628320
Adultx,628675,631679
Adultx,632995,634193
Adultx,634784,635526
Adultx,637230,638361
Adultx,638952,641027
Adultx,641736,642479
Adultx,644453,647372
Niñx,649229,649465
Adultx,650241,650764
Adultx,652199,654325
Niñx,655118,655877
Adultx,657143,659455
Niñx,665243,665715
Adultx,671672,674997
Adultx,680970,682169
Adultx,685172,685830
Adultx,687585,688497
Adultx,690589,692125
Adultx,692462,693880
Adultx,696040,696563
Adultx,698250,698790
Adultx,700596,701204
Adultx,703600,705608
Adultx,705979,706890
Adultx,707565,708139
Adultx,708915,709270
Adultx,711953,714754
Niñx,717083,717640
Niñx,718416,721673
Adultx,722871,725301
Adultx,725976,729334
Adultx,733570,734987
Adultx,743324,743729
Adultx,746125,746817
Adultx,749382,751069
Niñx,752672,753263
Niñx,755288,756216
Adultx,756351,758764
Niñx,759608,760148
Niñx,760739,760772
Adultx,760772,761042
Adultx,761093,761430
Adultx,761667,767354
Adultx,768231,770239
Niñx,772686,773597
Adultx,776635,777107
Adultx,777630,778322
Adultx,779183,782693
Adultx,783959,784887
Adultx,785646,788312
Niñx,789966,793628
Adultx,794944,797256
Adultx,798522,799905
Adultx,800665,801340
Adultx,801677,802116
Niñx,802403,803264
Adultx,805407,806200
Niñx,807060,807972
Adultx,811532,814941
Adultx,819632,821404
Adultx,823429,824492
Adultx,824543,824762
Adultx,824880,825387
Adultx,825927,829065
Adultx,830922,839747
Adultx,840540,842650
Niñx,840912,841907
Niñx,842650,843764
Niñx,845097,845772
Niñx,847189,847493
Adultx,849417,853095
Adultx,853922,855087
Niñx,854597,856555
Adultx,855880,857162
Niñx,857162,857837
Adultx,857837,859238
Niñx,857972,858344
Adultx,862427,862950
Adultx,865515,866359
Adultx,871658,873936
Niñx,878239,879015
Adultx,879015,879336
Adultx,879809,882627
Adultx,883319,883791
Adultx,885546,888887
Adultx,890372,894321
Adultx,895924,897983
Adultx,899012,900143
Adultx,902674,903501
Adultx,903535,903552
Adultx,905509,906285
Adultx,906775,907939
Adultx,909205,911297
Adultx,914402,919600
Adultx,919954,921338
Adultx,921794,923414
Adultx,925574,926519
Adultx,927244,929421
Adultx,938702,940289
Niñx,945047,946836
Niñx,947292,948152
Adultx,949114,953198
Adultx,962901,963525
Niñx,963964,964605
Adultx,964403,964926
Adultx,965955,967002
Niñx,967002,967035
Niñx,967812,968976
